
8,28,14,31.37082,23.01331,(4.4, -14.8),10.19415,-5.506138,-14.36672,-3.294821,11.98135,-14.46024,10,24,16,29.24692,10.02462,(12.0, 40.0),-5.338937,-2.995078,-16.60125,10.59226,7.391458,-15.6395
8,28,14,31.37082,23.01331,(4.4, -14.8),11.57523,-5.506138,-14.36672,-4.48558,11.98135,-15.76224,10,24,16,29.24692,10.02462,(14.6, 36.6),-10.57967,2.924747,-17.57838,11.44064,10.78127,-13.88421
8,29,12,29.92623,23.21528,(4.4, -17.4),11.3427,-3.754512,-17.61876,-2.33765,10.64733,-8.32042,5.1,24,16,29.24692,10.02462,(15.7, 39.4),-12.67903,2.924747,-20.4121,12.14151,14.04367,-13.88421
8,29,14,31.37082,23.01331,(2.7, -17.4),7.378639,-5.506138,-15.52649,-6.437973,15.11464,-11.20908,10,24,16,29.24692,10.02462,(14.6, 38.5),-12.48973,5.419658,-17.57838,10.79836,9.437033,-14.35025
8,29,12,30.03301,23.2086,(4.4, -19.9),10.76842,-3.754512,-17.61876,-2.33765,10.64733,-7.527921,10,24,16,29.24692,10.02462,(15.7, 39.4),-14.58908,5.419658,-22.18947,15.79635,14.04367,-11.81204
8,30,10,28.6952,23.4039,(4.4, -17.4),11.3427,-2.002885,-20.87081,-1.380479,9.313318,-10.34907,5.1,24,16,29.24692,10.02462,(15.7, 39.4),-14.58908,5.419658,-23.96684,18.6028,14.04367,-11.49517
6,29,12,28.19393,26.82678,(2.7, -18.4),13.53573,-6.760153,-18.77853,-7.039889,16.53485,-13.23773,10.1,24,16,29.24692,10.02462,(16.9, 42.3),-16.68844,5.419658,-26.80056,19.30367,17.30606,-11.49517
10,30,8,28.67163,23.59251,(4.4, -17.1),13.22124,-0.2512591,-21.58802,0.2627397,9.313318,-12.04135,10.1,24,16,29.24692,10.02462,(18.1, 45.2),-18.7878,5.419658,-29.63428,20.00453,20.56846,-11.49517
8,30,8,30.55201,24.08727,(4.4, -19.9),13.21398,-0.2512591,-24.12285,-2.703305,9.313318,-9.126571,10.1,24,16,28.95921,12.32635,(18.1, 45.2),-21.05242,5.419658,-29.63428,20.00453,20.56846,-11.49517
6,30,8,30.65879,24.0806,(4.4, -19.9),12.63971,-0.2512591,-24.12285,-2.703305,9.313318,-11.58523,5.1,24,16,28.95921,12.32635,(19.3, 48.1),-23.15178,5.419658,-32.46801,20.7054,23.83086,-11.49517
10,30,12,28.19393,26.82678,(2.7, -20.8),14.39051,-6.733528,-16.2437,-5.264603,16.53485,-10.9522,10.1,24,16,28.95921,12.32635,(20.4, 50.9),-25.25114,5.419658,-35.30173,21.40627,27.09325,-11.49517
10,32,8,33.50935,26.6962,(4.4, -18.8),9.976967,-0.2903855,-24.12285,-2.703305,9.313318,-12.37773,5,24,16,28.95921,12.32635,(19.3, 50.0),-25.06183,7.914569,-32.46801,20.06312,22.48662,-11.96121
10,32,6,33.48577,26.88482,(4.4, -18.8),9.976967,1.461241,-27.37489,-4.026131,9.313318,-14.40638,5.1,24,16,28.95921,12.32635,(19.3, 51.9),-25.06183,7.914569,-32.46801,18.57245,21.14238,-14.18254
8,31,10,28.17035,27.0154,(2.7, -20.5),16.26905,-4.981902,-16.96091,-3.621384,16.53485,-12.64447,5.1,24,16,28.95921,12.32635,(19.3, 51.9),-25.06183,7.914569,-34.24538,21.3789,21.14238,-13.86567
8,31,8,33.39472,27.61321,(4.4, -23.6),17.19846,-3.361778,-21.58802,0.2627397,10.73353,-8.790193,10.1,24,16,28.95921,12.32635,(19.3, 53.8),-25.06183,7.914569,-34.24538,19.88824,19.79815,-16.087
8,31,8,32.23642,30.8158,(4.4, -23.8),20.01376,-3.361778,-24.12285,-1.982396,10.73353,-9.126571,15,24,16,28.95921,12.32635,(20.4, 54.7),-29.07125,10.40948,-37.0791,22.92815,24.40478,-12.11038
8,31,8,30.44926,26.6962,(4.4, -22.6),4.164769,-0.2246342,-21.7868,3.386322,7.979303,-5.539036,15,24,16,28.95921,12.32635,(20.4, 56.6),-29.07125,10.40948,-37.0791,21.43749,23.06054,-14.33171
12,31,8,28.59663,26.6962,(4.4, -22.9),4.164769,-0.2246342,-21.7868,4.229908,7.979303,-5.539036,15,24,16,28.95921,12.32635,(20.4, 54.7),-30.9813,12.90439,-38.85648,26.58299,24.40478,-10.03821
8,32,8,22.0694,32.61968,(2.7, -20.3),23.79271,-3.230276,-17.67813,-0.5363457,16.53485,-14.33675,10.1,24,16,28.95921,12.32635,(20.4, 56.6),-30.9813,12.90439,-38.85648,25.09232,23.06054,-12.25955
8,32,8,26.98847,30.4066,(2.7, -20.0),24.71997,-3.230276,-15.1433,1.708789,16.53485,-14.00037,15,24,16,28.95921,12.32635,(20.4, 58.5),-32.89135,15.3993,-37.0791,21.64359,21.71631,-13.04246
8,31,8,25.66472,29.39735,(4.4, -22.9),3.571894,-0.2246342,-21.88619,4.950818,7.979303,-7.997693,5.1,24,16,28.95921,12.32635,(20.4, 58.5),-32.89135,15.3993,-38.85648,24.45004,21.71631,-12.72559
8,31,6,32.17557,29.49374,(4.4, -25.2),-0.9710245,0.3586696,-25.03884,4.343493,6.645288,-2.305437,10.1,24,16,28.95921,12.32635,(21.6, 61.4),-34.99072,15.3993,-41.6902,25.15091,24.9787,-12.72559
8,31,6,30.32294,29.49374,(4.4, -25.5),-0.9710245,0.3586696,-25.03884,5.187079,6.645288,-2.305437,10.1,24,16,28.95921,12.32635,(22.8, 64.3),-37.09007,15.3993,-44.52392,25.85178,28.2411,-12.72559
